PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS CUMPRIDOS;PRISÕES PREVENTIVAS CUMPRIDAS;PRISÕES TEMPORÁRIAS CUMPRIDAS
BRASIL;PF;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PF;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;AC;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;AC;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AC;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AC;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AC;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;AL;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;AL;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AL;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AL;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AL;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;AM;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;AM;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AM;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AM;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AM;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;0;1;0
BRASIL;AP;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;AP;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AP;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AP;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AP;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;BA;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;BA;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;BA;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;BA;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;BA;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;CE;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;CE;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;CE;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;CE;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;CE;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;1;0;0;0;0
BRASIL;DF;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;DF;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;DF;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;DF;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;DF;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;2;0;0
BRASIL;ES;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;ES;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;ES;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;ES;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;ES;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;0;2;0;0
BRASIL;GO;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;GO;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;GO;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;GO;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;GO;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;MA;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MA;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MA;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MA;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MA;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;1;0
BRASIL;MG;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MG;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MG;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MG;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MG;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;MS;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MS;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MS;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MS;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MS;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;MT;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MT;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MT;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MT;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MT;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;PA;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PA;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PA;2026;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PA;2026;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PA;2026;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;3;0;0;3;0;0
BRASIL;PB;2026;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PB;2026;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
